OLDNAME   RENAMED   IFGLYCAM  G_TYPE    G_CHARGE  
HB        HB        NO        NONE      NONE      
HG        HG        NO        NONE      NONE      
HD        HD        NO        NONE      NONE      
HE        HE        NO        NONE      NONE      
HZ        HZ        NO        NONE      NONE      
HB        HB        NO        NONE      NONE      
HG        HG        NO        NONE      NONE      
HD        HD        NO        NONE      NONE      
HE        HE        NO        NONE      NONE      
HZ        HZ        NO        NONE      NONE      
HB        HB        NO        NONE      NONE      
HG        HG        NO        NONE      NONE      
HD        HD        NO        NONE      NONE      
HE        HE        NO        NONE      NONE      
HZ        HZ        NO        NONE      NONE      
HB        HB        NO        NONE      NONE      
HG        HG        NO        NONE      NONE      
HD        HD        NO        NONE      NONE      
HE        HE        NO        NONE      NONE      
HZ        HZ        NO        NONE      NONE      
HZ        HZ        NO        NONE      NONE      
HZ        HZ        NO        NONE      NONE      
C1        C1        YES       Cg        0.4330    
H1        H1        YES       H2        0.0000    
C2        C2        YES       Cg        0.2450    
H2        H2        YES       H1        0.0000    
C3        C3        YES       Cg        0.2520    
H3        H3        YES       H1        0.0000    
C4        C4        YES       Cg        0.3260    
H4        H4        YES       H1        0.0000    
C5        C5        YES       Cg        0.2760    
H5        H5        YES       H1        0.0000    
C6        C6        YES       Cg        0.2660    
H61       H61       YES       H1        0.0000    
H62       H62       YES       H1        0.0000    
O1        O1        YES       Os        -0.4580   
O2        O2        YES       Oh        -0.7170   
H2        H2        YES       Ho        0.4460    
O3        O3        YES       Oh        -0.6960   
O4        O4        YES       Oh        -0.7330   
O5        O5        YES       Os        -0.5070   
O6        O6        YES       Oh        -0.6880   
H6        H6        YES       Ho        0.4220    
C0        C0        YES       Cg        0.2640    
H01       H01       YES       H1        0.0000    
H02       H02       YES       H1        0.0000    
H03       H03       YES       H1        0.0000    
