OLDNAME   RENAMED   IFGLYCAM  G_TYPE    G_CHARGE  
C1        C1        YES       Cg        0.4330    
C2        C2        YES       Cg        0.2450    
C3        C3        YES       Cg        0.2520    
C4        C4        YES       Cg        0.3260    
C5        C5        YES       Cg        0.2760    
C6        C6        YES       Cg        0.2660    
O1        O7        YES       Os        -0.4580   
O3        O8        YES       Oh        -0.6960   
O4        O9        YES       Oh        -0.7330   
O5        O10       YES       Os        -0.5070   
O6        O11       YES       Oh        -0.6880   
C0        C12       YES       Cg        0.2640    
H1        H13       YES       H2        0.0000    
H2        H14       YES       H1        0.0000    
H3        H15       YES       H1        0.0000    
H4        H16       YES       H1        0.0000    
H5        H17       YES       H1        0.0000    
H61       H18       YES       H1        0.0000    
H62       H19       YES       H1        0.0000    
H6        H20       YES       Ho        0.4220    
H01       H21       YES       H1        0.0000    
H02       H22       YES       H1        0.0000    
H03       H23       YES       H1        0.0000    
N3        N24       NO        NONE      NONE      
N4        N25       NO        NONE      NONE      
N5        N26       NO        NONE      NONE      
C6        C27       NO        NONE      NONE      
C7        C28       NO        NONE      NONE      
C8        C29       NO        NONE      NONE      
C9        C30       NO        NONE      NONE      
C10       C31       NO        NONE      NONE      
C11       C32       NO        NONE      NONE      
C12       C33       NO        NONE      NONE      
C13       C34       NO        NONE      NONE      
H19       H35       NO        NONE      NONE      
H20       H36       NO        NONE      NONE      
H21       H37       NO        NONE      NONE      
H22       H38       NO        NONE      NONE      
H23       H39       NO        NONE      NONE      
H24       H40       NO        NONE      NONE      
H25       H41       NO        NONE      NONE      
H26       H42       NO        NONE      NONE      
H27       H43       NO        NONE      NONE      
H28       H44       NO        NONE      NONE      
H29       H45       NO        NONE      NONE      
H30       H46       NO        NONE      NONE      
