OLDNAME   RENAMED   IFGLYCAM  G_TYPE    G_CHARGE  
C1        C1        YES       Cg        0.3740    
C2        C2        YES       Cg        0.3570    
C3        C3        YES       Cg        0.2590    
C4        C4        YES       Cg        0.2030    
C5        C5        YES       Cg        0.1400    
C6        C6        YES       Cg        0.3190    
O1        O7        YES       Oh        -0.6390   
O2        O8        YES       Oh        -0.7260   
O3        O9        YES       Oh        -0.6940   
O4        O10       YES       Oh        -0.6640   
O5        O11       YES       Os        -0.4020   
O6        O12       YES       Os        -0.4680   
H1        H13       YES       H2        0.0000    
H2        H14       YES       H1        0.0000    
H3        H15       YES       H1        0.0000    
H4        H16       YES       H1        0.0000    
H5        H17       YES       H1        0.0000    
H61       H18       YES       H1        0.0000    
H62       H19       YES       H1        0.0000    
H1        H20       YES       Ho        0.4450    
H2        H21       YES       Ho        0.4320    
H3        H22       YES       Ho        0.4330    
H4        H23       YES       Ho        0.4370    
C1        C24       YES       C         0.7890    
C2        C25       YES       Cy        0.2370    
C3        C26       YES       Cg        0.0060    
C4        C27       YES       Cg        0.3320    
C5        C28       YES       Cg        0.3080    
C6        C29       YES       Cg        0.2200    
C7        C30       YES       Cg        0.1110    
C8        C31       YES       Cg        0.4920    
C9        C32       YES       Cg        0.1780    
N5        N33       YES       Ng        -0.6290   
O1A       O34       YES       O2        -0.7610   
O1B       O35       YES       O2        -0.7610   
O4        O36       YES       Oh        -0.7620   
O6        O37       YES       Oy        -0.4030   
O7        O38       YES       Oh        -0.7210   
O8        O39       YES       Oh        -0.7390   
O9        O40       YES       Oh        -0.6890   
H31       H41       YES       Hc        0.0000    
H32       H42       YES       Hc        0.0000    
H4        H43       YES       H1        0.0000    
H5        H44       YES       H1        0.0000    
H6        H45       YES       H1        0.0000    
H7        H46       YES       H1        0.0000    
H8        H47       YES       H1        0.0000    
H91       H48       YES       H1        0.0000    
H92       H49       YES       H1        0.0000    
H5        H50       YES       H         0.2800    
H4        H51       YES       Ho        0.4150    
H7        H52       YES       Ho        0.4350    
H8        H53       YES       Ho        0.4120    
H9        H54       YES       Ho        0.4080    
C3        C55       NO        NONE      NONE      
C4        C56       NO        NONE      NONE      
C5        C57       NO        NONE      NONE      
H6        H58       NO        NONE      NONE      
C7        C59       NO        NONE      NONE      
C8        C60       NO        NONE      NONE      
C9        C61       NO        NONE      NONE      
C10       C62       NO        NONE      NONE      
C11       C63       NO        NONE      NONE      
C12       C64       NO        NONE      NONE      
C13       C65       NO        NONE      NONE      
C14       C66       NO        NONE      NONE      
H20       H67       NO        NONE      NONE      
H21       H68       NO        NONE      NONE      
H22       H69       NO        NONE      NONE      
H23       H70       NO        NONE      NONE      
H24       H71       NO        NONE      NONE      
H25       H72       NO        NONE      NONE      
H26       H73       NO        NONE      NONE      
H27       H74       NO        NONE      NONE      
H28       H75       NO        NONE      NONE      
H29       H76       NO        NONE      NONE      
H30       H77       NO        NONE      NONE      
H31       H78       NO        NONE      NONE      
