OLDNAME   RENAMED   IFGLYCAM  G_TYPE    G_CHARGE  
C2        C1        YES       Cg        0.5440    
C7        C2        YES       C         0.5860    
O3        O3        YES       Oh        -0.6650   
C3        C4        YES       Cg        0.1520    
C4        C5        YES       Cg        0.2530    
O4        O6        YES       Oh        -0.6900   
C5        C7        YES       Cg        0.1360    
C6        C8        YES       Cg        0.3530    
O6        O9        YES       Oh        -0.7140   
O5        O10       YES       Os        -0.4080   
C1        C11       YES       Cg        0.3050    
O1        O12       YES       Oh        -0.6390   
N2        N13       YES       Ng        -0.6860   
C8        C14       YES       Cg        0.0560    
O7        O15       YES       O         -0.5640   
H2        H16       YES       H1        0.0000    
HO3       H17       YES       Ho        0.4150    
H3        H18       YES       H1        0.0000    
H4        H19       YES       H1        0.0000    
HO4       H20       YES       Ho        0.4400    
H5        H21       YES       H1        0.0000    
H61       H22       YES       H1        0.0000    
H62       H23       YES       H1        0.0000    
HO6       H24       YES       Ho        0.4270    
H1        H25       YES       H2        0.0000    
HN2       H26       YES       H         0.2540    
H81       H27       YES       Hc        0.0000    
H82       H28       YES       Hc        0.0000    
H83       H29       YES       Hc        0.0000    
C3        C30       NO        NONE      NONE      
C4        C31       NO        NONE      NONE      
C5        C32       NO        NONE      NONE      
C6        C33       NO        NONE      NONE      
C7        C34       NO        NONE      NONE      
C8        C35       NO        NONE      NONE      
O1        O36       NO        NONE      NONE      
C9        C37       NO        NONE      NONE      
O2        O38       NO        NONE      NONE      
C10       C39       NO        NONE      NONE      
O3        O40       NO        NONE      NONE      
C11       C41       NO        NONE      NONE      
C12       C42       NO        NONE      NONE      
C13       C43       NO        NONE      NONE      
O4        O44       NO        NONE      NONE      
C14       C45       NO        NONE      NONE      
C15       C46       NO        NONE      NONE      
O5        O47       NO        NONE      NONE      
C16       C48       NO        NONE      NONE      
C17       C49       NO        NONE      NONE      
O6        O50       NO        NONE      NONE      
H6        H51       NO        NONE      NONE      
H7        H52       NO        NONE      NONE      
H8        H53       NO        NONE      NONE      
H9        H54       NO        NONE      NONE      
H10       H55       NO        NONE      NONE      
H11       H56       NO        NONE      NONE      
H12       H57       NO        NONE      NONE      
H13       H58       NO        NONE      NONE      
H14       H59       NO        NONE      NONE      
