OLDNAME   RENAMED   IFGLYCAM  G_TYPE    G_CHARGE  
C2        C1        YES       Cg        0.0210
C1        C2        YES       Cg        0.1310
C3        C3        YES       Cg        0.0210
C4        C4        YES       Cg        0.0210
O1        O5        YES       Os        -0.3880
H21       H6        YES       Hc        0.0000
H22       H7        YES       Hc        0.0000
H23       H8        YES       Hc        0.0000
H31       H9        YES       Hc        0.0000
H32       H10       YES       Hc        0.0000
H33       H11       YES       Hc        0.0000
H41       H12       YES       Hc        0.0000
H42       H13       YES       Hc        0.0000
H43       H14       YES       Hc        0.0000
C1        C15       YES       Cg        0.3840    
O5        O16       YES       Os        -0.4710   
C5        C17       YES       Cg        0.2250    
C6        C18       YES       Cg        0.2820    
O6        O19       YES       Oh        -0.6880   
C4        C20       YES       Cg        0.2760    
C3        C21       YES       Cg        0.2840    
O3        O22       YES       Oh        -0.7090   
C2        C23       YES       Cg        0.3100    
O2        O24       YES       Oh        -0.7180   
O4        O25       YES       Os        -0.4680   
H1        H26       YES       H2        0.0000    
H5        H27       YES       H1        0.0000    
H61       H28       YES       H1        0.0000    
H62       H29       YES       H1        0.0000    
H6        H30       YES       Ho        0.4240    
H4        H31       YES       H1        0.0000    
H3        H32       YES       H1        0.0000    
H3        H33       YES       Ho        0.4320    
H2        H34       YES       H1        0.0000    
H2        H35       YES       Ho        0.4370    
C1        C36       YES       Cg        0.3740    
O5        O37       YES       Os        -0.4020   
C5        C38       YES       Cg        0.1400    
C4        C39       YES       Cg        0.2030    
O4        O40       YES       Oh        -0.6640   
C3        C41       YES       Cg        0.2590    
O3        O42       YES       Oh        -0.6940   
C2        C43       YES       Cg        0.3570    
O2        O44       YES       Oh        -0.7260   
C6        C45       YES       Cg        0.3190    
O6        O46       YES       Os        -0.4680   
H1        H47       YES       H2        0.0000    
H5        H48       YES       H1        0.0000    
H4        H49       YES       H1        0.0000    
H4        H50       YES       Ho        0.4370    
H3        H51       YES       H1        0.0000    
H3        H52       YES       Ho        0.4330    
H2        H53       YES       H1        0.0000    
H2        H54       YES       Ho        0.4320    
H61       H55       YES       H1        0.0000    
H62       H56       YES       H1        0.0000    
C2        C57       YES       Cy        0.2370    
C1        C58       YES       C         0.7890    
O1A       O59       YES       O2        -0.7610   
O1B       O60       YES       O2        -0.7610   
C3        C61       YES       Cg        0.0060    
C4        C62       YES       Cg        0.3320    
C5        C63       YES       Cg        0.3080    
C6        C64       YES       Cg        0.2200    
C7        C65       YES       Cg        0.1110    
C8        C66       YES       Cg        0.4920    
C9        C67       YES       Cg        0.1780    
O9        O68       YES       Oh        -0.6890   
O8        O69       YES       Oh        -0.7390   
O7        O70       YES       Oh        -0.7210   
O6        O71       YES       Oy        -0.4030   
N5        N72       YES       Ng        -0.6290   
C5N       C73       YES       C         0.6320    
O5N       O74       YES       O         -0.5930   
O4        O75       YES       Oh        -0.7620   
H31       H76       YES       Hc        0.0000    
H32       H77       YES       Hc        0.0000    
H4        H78       YES       H1        0.0000    
H5        H79       YES       H1        0.0000    
H6        H80       YES       H1        0.0000    
H7        H81       YES       H1        0.0000    
H8        H82       YES       H1        0.0000    
H91       H83       YES       H1        0.0000    
H92       H84       YES       H1        0.0000    
H9        H85       YES       Ho        0.4080    
H8        H86       YES       Ho        0.4120    
H7        H87       YES       Ho        0.4350    
H5N       H88       YES       H         0.2800    
H4        H89       YES       Ho        0.4150    
O1        O90       NO        NONE      NONE      
C1        C91       NO        NONE      NONE      
N1        N92       NO        NONE      NONE      
N2        N93       NO        NONE      NONE      
N3        N94       NO        NONE      NONE      
C2        C95       NO        NONE      NONE      
C3        C96       NO        NONE      NONE      
C4        C97       NO        NONE      NONE      
C5        C98       NO        NONE      NONE      
C6        C99       NO        NONE      NONE      
C7        C100      NO        NONE      NONE      
C8        C101      NO        NONE      NONE      
C9        C102      NO        NONE      NONE      
C10       C103      NO        NONE      NONE      
C11       C104      NO        NONE      NONE      
C12       C105      NO        NONE      NONE      
C13       C106      NO        NONE      NONE      
C14       C107      NO        NONE      NONE      
C15       C108      NO        NONE      NONE      
H1        H109      NO        NONE      NONE      
H2        H110      NO        NONE      NONE      
H3        H111      NO        NONE      NONE      
H4        H112      NO        NONE      NONE      
H5        H113      NO        NONE      NONE      
H6        H114      NO        NONE      NONE      
H7        H115      NO        NONE      NONE      
H8        H116      NO        NONE      NONE      
H9        H117      NO        NONE      NONE      
H10       H118      NO        NONE      NONE      
H11       H119      NO        NONE      NONE      
H12       H120      NO        NONE      NONE      
