OLDNAME   RENAMED   IFGLYCAM  G_TYPE    G_CHARGE  
C1        C1        YES       C         0.7890    
C2        C2        YES       Cy        0.2370    
O2        O3        YES       Oh        -0.6390   
C3        C4        YES       Cg        0.0060    
C4        C5        YES       Cg        0.3320    
C5        C6        YES       Cg        0.3080    
C6        C7        YES       Cg        0.2200    
C7        C8        YES       Cg        0.1110    
C8        C9        YES       Cg        0.4920    
C9        C10       YES       Cg        0.1780    
C10       C11       YES       C         0.6320    
N5        N12       YES       Ng        -0.6290   
O1A       O13       YES       O2        -0.7610   
O1B       O14       YES       O2        -0.7610   
O4        O15       YES       Oh        -0.7620   
O6        O16       YES       Oy        -0.4030   
O7        O17       YES       Oh        -0.7210   
O8        O18       YES       Oh        -0.7390   
O9        O19       YES       Oh        -0.6890   
O10       O20       YES       O         -0.5930   
H2        H21       YES       Ho        0.4450    
H31       H22       YES       Hc        0.0000    
H32       H23       YES       Hc        0.0000    
H4        H24       YES       H1        0.0000    
H5        H25       YES       H1        0.0000    
H6        H26       YES       H1        0.0000    
H7        H27       YES       H1        0.0000    
H8        H28       YES       H1        0.0000    
H91       H29       YES       H1        0.0000    
H92       H30       YES       H1        0.0000    
H5        H31       YES       H         0.2800    
H4        H32       YES       Ho        0.4150    
H7        H33       YES       Ho        0.4350    
H8        H34       YES       Ho        0.4120    
HO9       H35       YES       Ho        0.4080    
C1        C36       NO        NONE      NONE      
C2        C37       NO        NONE      NONE      
C3        C38       NO        NONE      NONE      
H6        H39       NO        NONE      NONE      
H7        H40       NO        NONE      NONE      
H8        H41       NO        NONE      NONE      
