OLDNAME   RENAMED   IFGLYCAM  G_TYPE    G_CHARGE  
C1        C1        YES       C         0.7890    
C2        C2        YES       Cy        0.2370    
C3        C3        YES       Cg        0.0060    
C4        C4        YES       Cg        0.3320    
C5        C5        YES       Cg        0.3080    
C6        C6        YES       Cg        0.2200    
C7        C7        YES       Cg        0.1110    
C8        C8        YES       Cg        0.4920    
C9        C9        YES       Cg        0.1780    
C10       C10       YES       C         0.6320    
C11       C11       YES       Cg        -0.0030   
N5        N12       YES       Ng        -0.6290   
O1A       O13       YES       O2        -0.7610   
O1B       O14       YES       O2        -0.7610   
O2        O15       YES       Oh        -0.6390   
O4        O16       YES       Oh        -0.7620   
O6        O17       YES       Oy        -0.4030   
O7        O18       YES       Oh        -0.7210   
O8        O19       YES       Oh        -0.7390   
O9        O20       YES       Oh        -0.6890   
O10       O21       YES       O         -0.5930   
H32       H22       YES       Hc        0.0000    
H31       H23       YES       Hc        0.0000    
H4        H24       YES       H1        0.0000    
H5        H25       YES       H1        0.0000    
H6        H26       YES       H1        0.0000    
H7        H27       YES       H1        0.0000    
H8        H28       YES       H1        0.0000    
H92       H29       YES       H1        0.0000    
H91       H30       YES       H1        0.0000    
1H11      H31       YES       Hc        0.0000    
3H11      H32       YES       Hc        0.0000    
2H11      H33       YES       Hc        0.0000    
HN5       H34       YES       H         0.2800    
HO4       H35       YES       Ho        0.4150    
HO7       H36       YES       Ho        0.4350    
HO8       H37       YES       Ho        0.4120    
HO9       H38       YES       Ho        0.4080    
C1        C39       NO        NONE      NONE      
O2        O40       NO        NONE      NONE      
C3        C41       NO        NONE      NONE      
C4        C42       NO        NONE      NONE      
C5        C43       NO        NONE      NONE      
C6        C44       NO        NONE      NONE      
C7        C45       NO        NONE      NONE      
C8        C46       NO        NONE      NONE      
C9        C47       NO        NONE      NONE      
C10       C48       NO        NONE      NONE      
P11       P49       NO        NONE      NONE      
C12       C50       NO        NONE      NONE      
C13       C51       NO        NONE      NONE      
C14       C52       NO        NONE      NONE      
C17       C53       NO        NONE      NONE      
C18       C54       NO        NONE      NONE      
C19       C55       NO        NONE      NONE      
C20       C56       NO        NONE      NONE      
C21       C57       NO        NONE      NONE      
C22       C58       NO        NONE      NONE      
C23       C59       NO        NONE      NONE      
C24       C60       NO        NONE      NONE      
C25       C61       NO        NONE      NONE      
C26       C62       NO        NONE      NONE      
C27       C63       NO        NONE      NONE      
C28       C64       NO        NONE      NONE      
O29       O65       NO        NONE      NONE      
C30       C66       NO        NONE      NONE      
C31       C67       NO        NONE      NONE      
C32       C68       NO        NONE      NONE      
C33       C69       NO        NONE      NONE      
C34       C70       NO        NONE      NONE      
C35       C71       NO        NONE      NONE      
C36       C72       NO        NONE      NONE      
C37       C73       NO        NONE      NONE      
C38       C74       NO        NONE      NONE      
C39       C75       NO        NONE      NONE      
C40       C76       NO        NONE      NONE      
C41       C77       NO        NONE      NONE      
C42       C78       NO        NONE      NONE      
H43       H79       NO        NONE      NONE      
H44       H80       NO        NONE      NONE      
H45       H81       NO        NONE      NONE      
H46       H82       NO        NONE      NONE      
H47       H83       NO        NONE      NONE      
H48       H84       NO        NONE      NONE      
H49       H85       NO        NONE      NONE      
H50       H86       NO        NONE      NONE      
H51       H87       NO        NONE      NONE      
H52       H88       NO        NONE      NONE      
H53       H89       NO        NONE      NONE      
H54       H90       NO        NONE      NONE      
H55       H91       NO        NONE      NONE      
H56       H92       NO        NONE      NONE      
H57       H93       NO        NONE      NONE      
H63       H94       NO        NONE      NONE      
H64       H95       NO        NONE      NONE      
H65       H96       NO        NONE      NONE      
H66       H97       NO        NONE      NONE      
H67       H98       NO        NONE      NONE      
H68       H99       NO        NONE      NONE      
H69       H100      NO        NONE      NONE      
H70       H101      NO        NONE      NONE      
H71       H102      NO        NONE      NONE      
H72       H103      NO        NONE      NONE      
H73       H104      NO        NONE      NONE      
H74       H105      NO        NONE      NONE      
H75       H106      NO        NONE      NONE      
H76       H107      NO        NONE      NONE      
H77       H108      NO        NONE      NONE      
H78       H109      NO        NONE      NONE      
H79       H110      NO        NONE      NONE      
H80       H111      NO        NONE      NONE      
H81       H112      NO        NONE      NONE      
H82       H113      NO        NONE      NONE      
H83       H114      NO        NONE      NONE      
H84       H115      NO        NONE      NONE      
H85       H116      NO        NONE      NONE      
H86       H117      NO        NONE      NONE      
H87       H118      NO        NONE      NONE      
H88       H119      NO        NONE      NONE      
H89       H120      NO        NONE      NONE      
H90       H121      NO        NONE      NONE      
H91       H122      NO        NONE      NONE      
H92       H123      NO        NONE      NONE      
H93       H124      NO        NONE      NONE      
H94       H125      NO        NONE      NONE      
H95       H126      NO        NONE      NONE      
H96       H127      NO        NONE      NONE      
H97       H128      NO        NONE      NONE      
H98       H129      NO        NONE      NONE      
H99       H130      NO        NONE      NONE      
