OLDNAME   RENAMED   IFGLYCAM  G_TYPE    G_CHARGE  
C1        C1        YES       C         0.7890    
C2        C2        YES       Cy        0.2370    
C3        C3        YES       Cg        0.0060    
C4        C4        YES       Cg        0.3320    
C5        C5        YES       Cg        0.3080    
C6        C6        YES       Cg        0.2200    
C7        C7        YES       Cg        0.1110    
C8        C8        YES       Cg        0.4920    
C9        C9        YES       Cg        0.1780    
C10       C10       YES       C         0.6320    
C11       C11       YES       Cg        -0.0030   
N5        N12       YES       Ng        -0.6290   
O1A       O13       YES       O2        -0.7610   
O1B       O14       YES       O2        -0.7610   
O2        O15       YES       Oh        -0.6390   
O4        O16       YES       Oh        -0.7620   
O6        O17       YES       Oy        -0.4030   
O7        O18       YES       Oh        -0.7210   
O8        O19       YES       Oh        -0.7390   
O9        O20       YES       Oh        -0.6890   
O10       O21       YES       O         -0.5930   
H32       H22       YES       Hc        0.0000    
H31       H23       YES       Hc        0.0000    
H4        H24       YES       H1        0.0000    
H5        H25       YES       H1        0.0000    
H6        H26       YES       H1        0.0000    
H7        H27       YES       H1        0.0000    
H8        H28       YES       H1        0.0000    
H92       H29       YES       H1        0.0000    
H91       H30       YES       H1        0.0000    
1H11      H31       YES       Hc        0.0000    
3H11      H32       YES       Hc        0.0000    
2H11      H33       YES       Hc        0.0000    
HN5       H34       YES       H         0.2800    
HO4       H35       YES       Ho        0.4150    
HO7       H36       YES       Ho        0.4350    
HO8       H37       YES       Ho        0.4120    
HO9       H38       YES       Ho        0.4080    
C1        C39       NO        NONE      NONE      
C2        C40       NO        NONE      NONE      
C3        C41       NO        NONE      NONE      
C6        C42       NO        NONE      NONE      
C7        C43       NO        NONE      NONE      
C8        C44       NO        NONE      NONE      
C9        C45       NO        NONE      NONE      
C10       C46       NO        NONE      NONE      
C11       C47       NO        NONE      NONE      
C12       C48       NO        NONE      NONE      
C13       C49       NO        NONE      NONE      
C14       C50       NO        NONE      NONE      
C15       C51       NO        NONE      NONE      
C16       C52       NO        NONE      NONE      
C17       C53       NO        NONE      NONE      
C18       C54       NO        NONE      NONE      
C19       C55       NO        NONE      NONE      
C20       C56       NO        NONE      NONE      
C21       C57       NO        NONE      NONE      
C22       C58       NO        NONE      NONE      
C23       C59       NO        NONE      NONE      
C24       C60       NO        NONE      NONE      
C25       C61       NO        NONE      NONE      
C26       C62       NO        NONE      NONE      
C27       C63       NO        NONE      NONE      
C28       C64       NO        NONE      NONE      
C29       C65       NO        NONE      NONE      
C30       C66       NO        NONE      NONE      
C31       C67       NO        NONE      NONE      
C32       C68       NO        NONE      NONE      
H33       H69       NO        NONE      NONE      
H34       H70       NO        NONE      NONE      
H35       H71       NO        NONE      NONE      
H36       H72       NO        NONE      NONE      
H37       H73       NO        NONE      NONE      
H43       H74       NO        NONE      NONE      
H44       H75       NO        NONE      NONE      
H45       H76       NO        NONE      NONE      
H46       H77       NO        NONE      NONE      
H47       H78       NO        NONE      NONE      
H48       H79       NO        NONE      NONE      
H49       H80       NO        NONE      NONE      
H50       H81       NO        NONE      NONE      
H51       H82       NO        NONE      NONE      
H52       H83       NO        NONE      NONE      
H53       H84       NO        NONE      NONE      
H54       H85       NO        NONE      NONE      
H55       H86       NO        NONE      NONE      
H56       H87       NO        NONE      NONE      
H57       H88       NO        NONE      NONE      
H58       H89       NO        NONE      NONE      
H59       H90       NO        NONE      NONE      
H60       H91       NO        NONE      NONE      
H61       H92       NO        NONE      NONE      
H62       H93       NO        NONE      NONE      
H63       H94       NO        NONE      NONE      
H64       H95       NO        NONE      NONE      
H65       H96       NO        NONE      NONE      
H66       H97       NO        NONE      NONE      
H67       H98       NO        NONE      NONE      
H68       H99       NO        NONE      NONE      
H69       H100      NO        NONE      NONE      
H70       H101      NO        NONE      NONE      
H71       H102      NO        NONE      NONE      
H72       H103      NO        NONE      NONE      
H73       H104      NO        NONE      NONE      
H74       H105      NO        NONE      NONE      
H75       H106      NO        NONE      NONE      
H76       H107      NO        NONE      NONE      
H77       H108      NO        NONE      NONE      
H78       H109      NO        NONE      NONE      
