OLDNAME   RENAMED   IFGLYCAM  G_TYPE    G_CHARGE  
C1        C1        YES       C         0.7890    
C2        C2        YES       Cy        0.2370    
C3        C3        YES       Cg        0.0060    
C4        C4        YES       Cg        0.3320    
C5        C5        YES       Cg        0.3080    
C6        C6        YES       Cg        0.2200    
C7        C7        YES       Cg        0.1110    
C8        C8        YES       Cg        0.4920    
C9        C9        YES       Cg        0.1780    
N5        N10       YES       Ng        -0.6290   
O1A       O11       YES       O2        -0.7610   
O1B       O12       YES       O2        -0.7610   
O4        O13       YES       Oh        -0.7620   
O6        O14       YES       Oy        -0.4030   
O7        O15       YES       Oh        -0.7210   
O8        O16       YES       Oh        -0.7390   
O9        O17       YES       Oh        -0.6890   
O2        O18       YES       Oh        -0.6390   
H31       H19       YES       Hc        0.0000    
H32       H20       YES       Hc        0.0000    
H4        H21       YES       H1        0.0000    
H5        H22       YES       H1        0.0000    
H6        H23       YES       H1        0.0000    
H7        H24       YES       H1        0.0000    
H8        H25       YES       H1        0.0000    
H92       H26       YES       H1        0.0000    
H91       H27       YES       H1        0.0000    
H5N       H28       YES       H         0.2800    
HO4       H29       YES       Ho        0.4150    
HO7       H30       YES       Ho        0.4350    
HO8       H31       YES       Ho        0.4120    
HO9       H32       YES       Ho        0.4080    
H2O       H33       YES       Ho        0.4450    
H1        H34       NO        NONE      NONE      
C2        C35       NO        NONE      NONE      
C3        C36       NO        NONE      NONE      
C6        C37       NO        NONE      NONE      
C7        C38       NO        NONE      NONE      
O8        O39       NO        NONE      NONE      
C9        C40       NO        NONE      NONE      
C10       C41       NO        NONE      NONE      
C11       C42       NO        NONE      NONE      
H12       H43       NO        NONE      NONE      
H13       H44       NO        NONE      NONE      
H14       H45       NO        NONE      NONE      
H20       H46       NO        NONE      NONE      
H21       H47       NO        NONE      NONE      
H22       H48       NO        NONE      NONE      
